Postcode,Number of individuals lodging an income tax return,Average taxable income or loss,Average salary or wages,Average net rent,Median net rent,Average total income or loss,Count net tax,Average net tax,Median net tax,Average super total accounts balance,Median super total accounts balance
800,5430,73761,73453,531,318,76809,4583,19221,12297,110815,24788
810,22405,75210,75474,1528,736,78100,18474,20261,14031,140623,49520
812,11116,69663,71590,785,134,72005,9057,17730,13510,148748,63277
820,13865,86116,80159,2538,1023,89300,11885,24424,15135,171019,52818
822,7214,52855,50815,1279,867,54654,4845,13754,7882,61763,9385
828,1052,85915,75469,4883,1836,89095,891,25122,14460,112007,47569
829,517,71286,71086,2853,1729,74283,487,14120,12324,63740,25423
830,11440,71173,72580,-945,-699,73714,9458,18003,13815,117400,55112
832,12245,76316,77654,-923,-713,79138,10603,18996,14837,107564,55560
834,827,78977,78323,1623,1454,81792,709,20710,15648,148863,85542
835,2770,77902,78938,491,232,81205,2281,21428,15942,182345,99184
836,5252,78068,79470,345,-29,81075,4426,20784,15436,154363,89733
837,443,68391,72240,2902,747,71114,333,19456,13145,134710,71960
838,577,73350,77895,362,-639,76304,466,19373,15495,148132,81122
839,571,74980,76593,1136,-3,77755,498,18261,13557,127615,57909
840,208,52820,66506,981,2547,55256,135,15170,9573,174409,89719
841,386,70930,71928,2079,612,73733,306,19441,13168,122993,61336
845,310,61148,60767,3702,1969,63947,221,17398,10632,103341,55255
846,204,67316,64649,-180,730,71972,147,20649,10118,106489,54450
847,161,50504,51447,6681,3668,51962,109,12630,7132,66582,15577
850,4354,68647,67770,3081,1840,71285,3647,16860,12587,96818,30407
852,2152,46612,44908,1846,2162,48554,1406,11276,6389,39899,5493
853,496,78356,80196,1665,1621,81079,451,17350,16211,200900,117115
854,450,52316,51651,4480,4134,53819,298,13707,8050,58603,9701
860,1356,66374,67543,2064,974,69129,1102,15690,12602,75100,26671
862,282,49861,51485,3787,1137,52410,205,10178,7974,49090,14728
870,13612,73542,72886,2944,1638,76495,11524,18743,13686,118772,44557
872,3837,46784,43692,1885,1123,48222,2445,11192,6199,39225,4817
873,773,71059,68677,3334,3189,74047,624,18992,13169,112350,49447
874,194,77464,78152,-185,1318,80441,168,20294,15778,119726,29581
875,913,68068,69049,231,1104,70390,741,17134,12772,94611,31604
880,1495,73770,72155,1720,834,76337,1203,20062,13409,102484,32380
885,590,93761,95449,1346,749,97097,520,26585,17666,148664,81791
886,644,65909,64428,365,542,68093,515,16194,10941,98550,28964
2000,22833,107563,75978,2892,1799,112144,16163,48320,9662,169394,11051
2007,5159,61333,62247,1916,770,63802,3499,20310,9894,76676,12958
2008,6773,68064,68915,2220,682,99566,4807,22928,12159,91729,17599
2009,8920,105118,95156,2131,1288,109227,6984,39900,17567,224871,51183
2010,19012,114577,100987,2861,1570,119513,15820,41096,19017,173351,48979
2011,12968,137254,104772,4097,2169,143087,10767,53996,19613,269759,63289
2015,8369,116200,100416,-559,338,119984,7264,39632,20934,149062,68444
2016,8532,95585,90777,3779,2202,99140,6892,32343,17693,145860,48989
2017,18874,80942,84344,-622,-315,84034,15195,24781,16371,86003,30277
2018,12453,74031,76733,2697,1345,76911,9659,22505,14224,104010,42056
2019,8498,80117,81872,1770,538,83370,7048,23062,15874,138184,69547
2020,14886,65966,69165,915,42,68640,11422,18790,11580,80935,23932
2021,10317,176804,134642,4579,2783,183850,8550,74746,25258,337086,79968
2022,9548,116534,108706,7889,4089,121410,7551,45307,19191,218783,51644
2023,7193,245728,140886,12753,6335,264687,5921,113439,26685,602236,88781
2024,7339,177370,133588,6970,3359,183174,5974,77170,24513,272918,82019
2025,4978,215123,141989,9051,4538,225440,3991,99087,27606,620753,107186
2026,22939,147052,112086,6970,3366,152590,18929,59518,21040,177249,46865
2027,5703,269777,142295,11316,5570,289087,4566,132095,29478,828583,115743
2028,3304,354308,133723,12613,6218,364637,2715,177456,27852,555381,86093
2029,6790,162055,115006,12103,5328,174129,5512,69488,21697,439440,81650
2030,9590,239974,129789,12494,6181,251272,7647,114269,26689,618208,105279
2031,23035,120485,104847,5431,2729,125393,18857,45281,20077,212366,67245
2032,9145,77494,73327,6053,4446,80442,6557,27934,13113,149949,38044
2033,7548,88130,81041,6259,3517,91655,5654,32332,15430,177312,41480
2034,13832,130664,107574,7951,3490,135575,11429,50006,21313,240338,64399
2035,22148,99411,89413,6950,3718,104925,17047,37221,16615,190860,66878
2036,19897,81442,80734,4471,2195,84680,15295,27068,14449,161890,62533
2037,10658,98811,92163,3840,2398,102696,8214,36762,17496,223001,55115
2038,6159,121333,108505,3403,1945,126431,5043,45370,22576,254102,103884
2039,5796,130784,121446,2550,856,135576,4763,49934,27034,267743,122995
2040,14163,110287,105637,2407,834,114215,11685,38721,22271,201167,105587
2041,10322,162760,134880,4226,1967,170665,8291,69390,28641,402525,142638
2042,12923,94610,88367,4027,1948,97877,10709,30776,17310,157187,57281
2043,7096,106268,103899,1735,628,109846,6246,33225,23049,151038,72556
2044,5418,86772,87947,2206,634,89824,4574,25653,17559,135857,72418
2045,4091,122034,105402,7292,4332,127325,3110,51027,20670,308393,130314
2046,16723,106430,97254,5445,2732,110463,13189,39538,19756,241134,106296
2047,7729,120152,107057,5248,3014,125057,6138,46804,22479,339446,119056
2048,5045,101915,94166,4206,2096,105486,4140,34896,18880,186074,78497
2049,8078,93245,89027,2976,1750,96383,6632,30449,17195,157334,67130
2050,5798,94603,90848,1801,768,98167,4729,31280,19435,158894,58886
2052,140,20892,19132,7430,6116,22001,31,14003,5847,45765,1909
2060,10891,137385,111123,4071,2151,143394,8855,54774,22951,356109,76071
2061,4302,169561,125648,8607,3496,177748,3521,72174,26403,533156,90007
2062,4726,148337,131577,5327,2607,153604,3841,60142,25966,384009,128460
2063,4275,212476,152534,7705,4401,219683,3290,103020,29782,590827,184421
2064,6216,100979,96808,1717,1132,104841,4824,37435,18798,222871,67107
2065,22640,119168,111090,2985,1563,123616,18625,43786,23633,277961,84070
2066,22382,126742,110722,3536,976,131118,17971,49735,22565,303256,98941
2067,17726,84295,87287,2684,1800,87618,12544,32283,15567,186992,45715
2068,10963,152575,120844,5539,2471,159875,8434,68165,25795,358192,141549
2069,9568,147156,125144,4260,3128,153626,7222,65365,23592,412849,129475
2070,9774,136425,112732,4010,2053,142002,7300,61143,21788,386221,116478
2071,9034,129981,107832,4409,2328,135434,6605,58814,20863,373508,99172
2072,5937,106280,97305,2364,1615,110591,4300,44699,18998,305080,76047
2073,11308,123199,110700,2537,1492,128028,8517,51855,23069,366160,123481
2074,15052,124637,113047,3174,1810,129484,11083,54305,23607,367850,140415
2075,13881,109339,107376,2357,1250,114042,10054,46024,21949,332158,115413
2076,15900,112612,104834,2623,1036,117073,11744,46684,21704,313587,117747
2077,26955,74096,79158,789,288,76825,20352,23301,15144,139931,57355
2079,5075,78291,81736,1692,646,81026,3931,24656,15783,187117,91067
2080,1143,71311,78042,1703,84,74359,838,22746,14890,197253,99898
2081,3456,82915,84190,1546,239,85906,2659,27429,16882,204440,115292
2082,3414,81656,81530,2330,1032,84557,2618,26836,16524,200214,117771
2083,1034,75117,78523,5732,3944,78012,749,24905,14425,231576,109071
2084,2425,140085,98714,9403,5476,146887,1836,62886,18234,421756,120681
2085,7295,92593,95328,3849,2430,96668,5389,34783,17607,251211,127053
2086,8915,95265,93894,5035,2242,98859,6782,34941,18756,220073,110200
2087,8096,102756,99865,5557,3217,106873,6021,40578,19582,285065,117193
2088,19568,211999,155166,7310,4242,221491,15411,100012,27162,605374,134192
2089,8415,129365,115246,4228,2661,134798,6856,50293,21828,344425,84392
2090,9321,145996,120379,5013,2210,152220,7456,60523,24201,381091,105333
2092,4527,163558,140630,8783,3412,170073,3527,73042,27421,384578,147733
2093,15369,142792,115920,6800,3236,147412,12152,60232,21557,294814,111103
2094,4261,131696,118303,6954,4514,136810,3395,52976,23417,345122,110406
2095,11707,152492,118882,9212,4390,157989,9548,62621,23546,335593,69718
2096,10220,142097,117197,5944,2936,147667,8317,57858,21109,255523,86301
2097,10457,102902,90972,6436,3682,107274,8075,38868,17251,257851,96337
2099,28118,89368,81729,5090,2585,92545,22157,30543,14053,161905,64660
2100,14277,95850,91453,6648,2997,99173,11141,34539,15938,185313,85752
2101,12616,89034,83257,6873,3814,92634,9668,31228,15489,230698,91051
2102,5163,98033,88287,4399,1538,101524,4011,35828,17075,208004,100842
2103,7323,92771,83122,7762,4824,96641,5465,34609,16222,312385,112986
2104,2337,143147,94233,12969,7561,148819,1648,70061,18803,522381,154715
2105,1370,120580,93139,9766,4843,125914,995,53303,19062,414440,142186
2106,6726,106867,87816,8921,5269,111542,5142,41860,16566,346244,108744
2107,10186,113232,90191,9458,5456,118442,7390,48665,17030,388676,113858
2108,1283,216262,95901,12575,6053,238669,909,119376,24171,1027343,184322
2110,6062,215456,128737,9219,4033,225165,4721,104330,28246,600829,156112
2111,9957,113496,97984,5213,2100,117659,7979,42732,19385,252669,93850
2112,24261,79910,80482,1830,744,83102,18476,26505,14998,162280,55780
2113,18305,78890,82394,809,240,81939,13839,26060,15990,135108,43960
2114,16766,73631,77376,1812,720,76449,12688,23101,14502,148091,51584
2115,7303,68277,72293,698,8,70820,5454,20424,13825,126308,54802
2116,4243,65729,69670,1197,72,68252,3189,19072,12305,115807,49666
2117,13038,67867,69684,2224,324,70584,9380,21747,13017,152019,51894
2118,17133,65948,72477,1422,539,68526,11963,21568,13202,158220,50213
2119,7786,104369,98975,2245,1067,108646,5694,42280,22044,363506,139498
2120,13583,84997,89661,1641,598,88240,10163,29559,18424,220226,103182
2121,22812,77286,81765,1453,805,80243,16473,27023,15887,193466,50414
2122,20564,72380,72231,1859,855,75298,14146,26333,13683,166769,47613
2125,11085,99644,95454,1519,985,103812,8106,39855,19285,292393,112250
2126,12073,86460,93426,363,-30,89670,8795,31669,19378,218550,92471
2127,15503,71808,78018,-1225,-1167,74546,11906,21520,15156,96066,35163
2128,1403,58257,62667,2141,-53,60489,1052,15324,9818,68907,28485
2130,5094,93458,90537,2904,1303,96884,4200,30313,17621,182944,74358
2131,15301,67998,69888,3576,2114,70347,11446,20504,12003,124336,37971
2132,6567,79060,80933,3521,2006,82139,4888,26768,15223,176487,71311
2133,6414,69769,72737,4536,1980,72482,4807,21229,13306,150686,67052
2134,11881,58094,58553,2460,1512,60350,7893,19005,8709,95621,15129
2135,19042,79511,65079,4492,2749,82742,13645,29504,11580,196416,21429
2136,4823,69023,72302,3248,1992,71954,3568,21588,12920,136182,50724
2137,17615,92073,87996,4026,1856,95988,13366,33657,17404,244871,87416
2138,13195,75667,79755,961,338,78477,9688,25584,15207,124693,36246
2140,14095,63575,63624,458,-384,65651,10621,18134,10355,62641,17597
2141,20668,53993,57924,1951,920,55871,14449,14723,8700,75358,20570
2142,16467,51393,54932,1604,871,53282,11629,12822,8150,54890,14393
2143,5192,54909,58909,2383,1892,56926,3666,14944,8996,87157,28295
2144,22872,43725,47778,3666,2320,45318,14795,10507,6299,43194,9589
2145,50980,66895,71211,662,-89,69473,38863,19152,12900,102233,36842
2146,11801,64377,68501,777,-68,66756,9107,17461,12076,106071,42936
2147,21199,63817,68383,1139,217,66185,16018,17686,12440,123430,56157
2148,39876,56894,60633,1029,-31,59002,29815,14399,10201,82066,32354
2150,24952,65569,69314,546,-41,67800,18912,18427,12604,58544,16904
2151,12715,71551,74481,1495,543,74334,9588,22092,14012,145516,59291
2152,6712,73259,77325,1349,635,76159,5133,22248,15364,155519,76580
2153,38269,81253,85401,923,32,84464,29034,27057,17372,186961,85896
2154,25547,87281,87745,1091,348,90794,18893,31725,17642,222229,85300
2155,47518,84713,86946,-1163,-1091,87918,37608,27103,18040,141447,68160
2156,8696,113615,87914,5546,2885,117748,6497,47460,18658,334555,118968
2157,2569,81540,75671,6212,3734,84685,1901,28775,13276,204602,79135
2158,5620,153707,87079,5126,1998,158247,4220,72350,18382,305750,90334
2159,3264,98640,82840,6776,3692,103041,2409,39113,15288,291937,107815
2160,20880,53519,57004,3932,2158,55594,14612,14354,8666,76364,21901
2161,16098,48879,53218,3012,1788,50856,10744,12622,8053,67507,18759
2162,9583,49821,54651,3410,2030,51742,6401,13201,8620,86583,26606
2163,4469,46848,51133,2912,1357,48697,3007,11379,7498,57166,16553
2164,9991,58455,58099,5127,2512,60557,7099,16907,9909,103077,34384
2165,18776,48729,51480,4507,2583,50497,12652,12259,8153,68064,19996
2166,26855,48675,50087,3858,2310,50315,18163,12271,7968,59326,18293
2167,6020,62554,66396,378,-92,64949,4633,16563,12129,95524,43267
2168,21071,50683,53884,1548,646,52661,14840,12462,8713,71215,24336
2170,58772,57150,60412,2137,475,59458,43320,14914,10285,90004,33198
2171,21996,65449,66291,1807,0,68104,16922,18275,12059,105436,48494
2172,1752,87283,84239,2574,949,91183,1406,27895,19593,213373,107766
2173,8661,70977,74149,360,-81,73861,7009,19205,14542,142354,73277
2174,7505,69664,73478,-696,-778,72383,6078,18699,13861,75677,40369
2175,1114,86952,65661,12024,6555,90199,851,30741,13545,258515,59305
2176,24291,59155,59091,5130,2990,61367,17281,17063,10371,109377,40400
2177,8428,54376,56345,2855,1417,56412,6090,14021,9491,79918,30037
2178,2203,84398,61630,9755,6276,87276,1682,29590,11893,230747,47597
2179,10471,66554,69274,2102,-68,69192,8295,17936,12893,88122,39964
2190,12932,53524,56711,4048,1960,55682,8645,15652,8789,81378,24926
2191,3485,64254,66657,4352,2470,66677,2550,19154,10996,121339,51208
2192,7483,55205,58922,3881,1996,57241,5343,14733,9156,80895,31081
2193,10867,70657,73248,4049,2162,73236,8253,21501,13007,140933,55396
2194,15082,48587,52854,2513,1078,50283,10170,12333,7620,60941,18404
2195,13433,43895,49113,3546,1766,45517,8380,11039,6684,49684,13571
2196,17360,51366,55629,3782,1948,53363,11639,13987,8954,80109,25865
2197,4689,52142,56591,3123,1708,54259,3142,14449,9393,90901,29070
2198,4769,57921,60588,4082,2384,60346,3362,16615,10104,129606,50340
2199,9409,52024,56054,3505,2132,54042,6388,14052,9183,80975,26549
2200,24858,49872,53030,3559,1910,51891,16640,13253,8250,69039,19410
2203,8749,88898,86751,4018,1850,92297,7161,28019,16874,171409,80069
2204,16416,82787,81720,4241,2238,85814,13394,25157,15600,136278,59082
2205,16434,65084,69229,788,155,67374,12492,18413,11925,76486,25258
2206,11407,81759,78878,5940,3218,84932,8763,27148,15435,175938,81674
2207,16121,68094,70794,4204,2365,70693,11916,20907,12882,143407,59394
2208,7484,70869,71460,5208,3060,73432,5427,22578,12733,144036,65624
2209,9662,60163,65475,3250,2494,62545,6806,17884,11349,122730,46249
2210,18997,65729,69044,3285,1591,68363,13810,20141,12105,153612,56992
2211,10412,64234,68752,3232,1469,66736,7683,18706,12524,140472,62787
2212,9924,62979,67238,2680,1318,65367,7365,17834,12218,122151,54318
2213,13540,70911,73344,2328,676,73636,10321,21299,14290,158769,74800
2214,2378,67208,69695,1650,136,69778,1808,19350,13269,160823,86723
2216,17931,62971,64401,4147,1930,65340,13259,18064,10738,102655,32448
2217,18505,67997,69435,4337,1823,70693,14009,20094,12137,128478,43686
2218,10296,61389,64931,2229,1708,63719,7558,17387,10988,111617,40055
2219,8075,80273,77898,6055,2953,83787,6155,26568,14684,226335,85198
2220,22865,55088,58087,2495,1577,57193,15563,16157,8923,90471,19436
2221,10674,84739,78004,5728,3132,88335,7874,30750,15062,234685,72473
2222,7884,65149,67570,2875,1498,67814,5818,19372,11321,141477,49487
2223,13632,84009,82055,4103,2304,87155,10425,28607,15387,230510,90955
2224,8922,87285,77359,8490,3492,90861,6508,32869,15063,263059,90580
2225,3487,98059,94631,3583,1878,101640,2695,35593,20719,255588,136260
2226,7962,89496,90344,2403,710,92768,6262,29956,18210,222994,118530
2227,9494,84808,85412,3021,1055,88091,7525,27307,16534,212486,107930
2228,12985,80564,79490,3796,1586,83808,10133,25662,15400,181103,77328
2229,19443,94018,86549,4991,2178,97734,15182,33181,16779,242585,101267
2230,20642,100528,86372,6839,3204,105117,16308,36282,17172,306276,104342
2231,1451,72245,69883,5046,2493,75020,1111,21938,12579,159423,82100
2232,21815,78331,80532,2987,1344,81324,17254,23833,15706,183228,91805
2233,18350,74208,77892,2393,689,77233,14418,21832,15335,192327,112546
2234,19744,80885,80838,3492,1456,84311,15400,25924,15888,228603,109937
2250,41593,65811,65560,3815,1867,68488,31146,19294,11162,153251,63850
2251,19523,73752,70338,4555,2219,77629,14259,24725,12562,193294,87502
2256,8692,63125,64750,5369,2852,65709,6184,19209,10677,175960,71031
2257,16489,71222,67040,5854,3551,74051,11723,24417,11175,184855,76881
2258,3217,66722,65268,3614,2543,69500,2448,19371,11526,181742,77702
2259,36133,59913,61585,3565,1404,62643,27023,16008,10220,121118,54353
2260,15811,83072,77189,4894,2604,86890,11956,28457,14648,235174,92000
2261,32153,61529,61738,4327,2082,64289,24068,16836,10223,140828,65534
2262,11101,53756,56089,2684,1157,56171,8306,12706,8698,98161,46074
2263,12737,55378,56429,5277,2212,57888,9390,13947,8798,115601,49179
2264,8612,59372,61218,4455,2410,62179,6108,17232,9938,156918,62960
2265,4246,61666,61825,3826,2777,64689,3161,16868,11601,138093,64269
2267,1631,58949,62504,6046,3805,61678,1130,17380,10552,216282,98791
2278,1561,60462,62726,3212,2681,63270,1248,14618,10092,140123,74087
2280,15875,68123,67732,5272,2619,71237,11905,20422,12285,210087,93213
2281,8330,67231,67684,4251,2243,70378,6049,21003,11703,198600,97517
2282,9861,75393,73958,4175,2354,78767,7426,24307,14087,232416,115684
2283,13564,68865,64951,5765,2606,71856,9864,22233,11076,202651,82500
2284,7294,66158,66084,3845,1792,69094,5604,18491,11858,150771,71176
2285,19990,64095,65898,1927,987,66735,15915,16421,11614,129086,68953
2286,2710,60217,63281,2680,690,62765,2149,14591,11051,124512,65884
2287,23923,62737,64650,2503,1205,65316,18599,16423,11255,130871,60600
2289,12549,72758,73096,3392,1438,75916,9837,21278,14156,183155,90344
2290,20570,74186,68931,4442,2090,77889,15980,22833,12642,185584,82805
2291,9499,104298,82243,5503,3100,109070,7518,38459,17112,302274,105718
2292,1720,69267,70722,2550,647,72287,1416,18100,13090,135782,67821
2293,2390,72204,71887,2838,1188,75355,1949,19645,13499,173142,65015
2294,1263,69849,69016,2279,1766,72972,1000,19379,13151,139122,60029
2295,4358,69477,72444,3103,1706,72485,3318,20193,14002,184076,94974
2296,1375,68541,65948,2403,1458,71163,1109,18066,11811,133300,55119
2297,1154,67543,67303,5253,2416,70476,907,18778,12214,139642,71870
2298,5756,61694,63139,3330,1494,64222,4519,15703,10644,116868,50741
2299,6989,62832,61677,4727,2568,65478,5197,17884,10652,137157,44912
2300,8582,94504,75905,6605,3357,99474,6752,32745,14899,318103,68557
2302,963,71134,72756,5334,2072,74553,740,21043,13164,200265,59280
2303,5813,79417,72582,5784,3589,83295,4494,25727,13787,224668,78980
2304,9053,62683,64625,2337,1781,65196,7212,15682,11150,122426,57557
2305,8261,81538,76081,4620,2732,85290,6446,26259,15027,221207,102735
2306,1114,42700,43721,1748,1014,44220,728,8947,5808,49670,17379
2307,2522,53595,55696,3732,3000,55702,1893,12578,8906,91977,37055
2308,236,20878,17798,-2110,-2110,21192,76,3964,951,9154,2337
2311,516,57550,59744,7347,7434,60376,341,19238,9034,181455,75828
2312,819,47727,50859,7041,4415,50425,525,13453,7718,113745,53907
2315,8799,61400,59765,5755,3802,64312,5878,19947,9971,237287,92673
2316,3748,57641,58804,4767,3007,60513,2592,16775,9474,179411,78594
2317,3641,57350,57508,6659,3877,60257,2410,17811,9421,232084,88720
2318,8099,65770,65524,3801,2189,68461,6127,18630,12218,167984,81146
2319,3499,52993,56711,4374,2057,55422,2432,13747,8790,136591,66156
2320,23085,68211,69054,2362,386,71397,17865,19455,12093,158999,66492
2321,12385,68019,69515,2822,1031,70953,9774,18790,12213,151176,69714
2322,14419,64656,65806,2122,656,67542,11483,16737,11657,130224,61513
2323,15173,64560,65440,3229,1251,67244,11556,17999,11592,158681,69170
2324,13758,55209,57680,5239,2660,57898,9702,15131,9545,158253,65665
2325,15480,59024,60741,3115,1679,61612,11355,16033,9546,128012,53790
2326,4207,57847,60902,2522,1590,60382,3206,14415,9706,110833,53117
2327,4044,56100,58871,2185,1537,58380,3108,13316,9489,103505,48634
2328,1435,65354,74257,2811,1572,68688,1078,19094,11449,147227,71109
2329,1134,54531,59852,5387,3486,60371,803,14951,9280,139326,59387
2330,12681,73751,78578,2617,1015,76929,9644,22875,14346,172223,75135
2333,7550,70561,75100,2058,275,73490,5791,20749,13258,144536,60739
2334,2056,66916,70097,1387,530,69715,1657,17475,12103,107502,54304
2335,5162,74478,77528,1367,408,77706,4093,21709,14930,149510,77756
2336,1425,69002,72729,3885,1596,72535,1071,21332,12108,158827,68477
2337,4883,97090,69082,3481,1657,101466,3670,35708,10889,150066,63356
2338,708,52657,58941,3861,3083,55773,471,15307,9513,141284,65920
2339,492,47688,52466,5493,3230,54008,312,14932,8807,146622,52092
2340,30441,61542,60696,4775,2583,64935,23262,16540,9982,134398,53362
2341,689,52002,55827,5100,1815,56119,476,13280,8745,123240,55796
2342,293,56661,60900,4218,4310,61061,206,17407,9387,115958,58792
2343,2646,53537,57058,3338,2088,61557,1825,15700,9092,129694,56986
2344,442,55619,65173,4785,1860,61719,307,16003,9117,172485,80951
2345,437,57828,65013,3792,1686,62452,315,18116,10377,126263,67583
2346,1579,50415,56995,6565,2566,55334,1060,13927,8630,98093,46876
2347,814,42149,50905,4405,2890,49896,496,12544,7050,127238,49688
2350,14926,60875,60294,5098,2959,64095,10759,17537,10423,163879,46874
2352,1623,58136,57387,6204,3830,61191,1212,15684,9178,110730,55107
2353,622,51995,56667,4041,2488,54282,468,12110,8805,111481,66029
2354,2124,54430,51588,5746,2758,61604,1409,15956,8770,195596,69956
2355,359,42382,52197,4242,1619,46372,223,12741,7113,129106,50193
2356,60,41145,38433,3002,3002,44645,41,7793,4876,68597,25842
2357,2014,51216,54715,4696,2728,55811,1354,14595,9127,130869,55115
2358,2153,50332,52176,5715,3079,54573,1468,13479,8242,148763,58664
2359,380,43273,47096,5331,3958,48331,230,11623,6515,88624,39867
2360,7880,52563,53579,4826,2564,56239,5638,13501,7977,126752,47620
2361,426,34832,45962,5376,4150,40830,228,10011,7011,100357,43285
2365,2084,50298,49558,5512,3927,56208,1399,13897,7059,130869,48265
2369,365,40457,46087,3489,2773,43644,236,9150,5862,78450,18573
2370,3936,45711,50072,4077,2071,49869,2503,12108,7132,136727,47127
2371,567,39896,45209,50,2093,43291,326,10603,6099,129456,47246
2372,2544,42900,49683,4874,2398,46078,1546,11889,6589,156300,63471
2379,190,51395,48789,7720,3802,64026,126,18515,10205,146626,37824
2380,6175,68854,71436,3927,2292,73112,4715,20645,12146,137742,59497
2381,665,63131,61275,5382,3408,68485,479,18767,11471,126078,44973
2382,730,58655,71343,3519,3406,63613,506,18316,11915,115103,57418
2386,196,54379,52681,-8931,3173,89564,130,15882,9833,114557,43627
2387,130,56949,54392,-1938,-252,137079,76,23316,13120,105402,29846
2388,1414,57929,56288,4254,2126,63930,1003,17511,10423,104801,42656
2390,4999,62145,65404,4353,2034,65819,3823,17287,11025,138492,56495
2395,306,43221,46445,14552,5777,48825,182,11524,6203,95647,35641
2396,421,53156,51842,4310,2667,63779,274,15514,7783,92010,36392
2397,222,31972,50462,11201,4192,42001,145,13968,10637,205378,57520
2398,147,75508,50671,5064,2998,111282,110,22652,10809,121312,39769
2399,378,60511,63084,5252,1819,73593,281,17323,12588,188644,53109
2400,5512,65981,61574,3902,1896,73530,4246,19042,11492,150026,43068
2401,172,41063,59283,3259,1909,65192,99,15012,11182,102704,52813
2402,921,46136,54865,2403,1785,51484,609,14166,8274,129529,44599
2403,365,37350,46656,8305,3332,47381,219,10946,5982,99998,44326
2404,889,43389,49319,7769,4074,49651,543,11427,7220,129152,58565
2405,273,58892,50373,2064,1086,94585,191,18860,8176,125492,32286
2406,455,67570,58031,1471,1696,96922,333,21922,11214,107760,41070
2408,217,58832,56648,12906,3960,100500,149,17658,11465,260614,72365
2409,344,42839,45126,8535,2628,47278,229,15782,6686,127988,21323
2410,107,55827,55426,13635,7463,72136,63,26805,12629,138239,49419
2411,59,38102,50468,2576,1551,64562,34,12121,7876,72551,36417
2415,229,48389,54550,4580,1648,52596,147,13010,7299,160844,72692
2420,2315,57745,58565,5304,1922,63107,1570,17837,8641,168525,74316
2421,1238,64942,69740,3177,2798,68126,929,19216,12730,178170,95169
2422,2858,47078,53300,6688,4829,50756,1805,13222,7281,167755,74775
2423,1715,48273,47790,6739,4654,51421,1097,13520,6961,145221,57905
2424,225,37996,43652,11233,6796,41181,129,9371,5711,104341,38440
2425,1057,55327,61511,3822,1973,58754,753,15112,8972,142217,71513
2426,384,46693,50090,5001,3820,49111,268,11200,7064,115461,56435
2427,1611,49783,52433,5901,3410,52834,988,15410,8014,203416,94852
2428,12852,53260,51970,6216,3135,55888,8475,15713,7622,175433,67683
2429,5308,47836,52090,5513,3519,50340,3563,12273,7383,142183,61923
2430,18739,52927,53854,5398,3340,55405,12926,14269,8116,154799,62893
2431,2887,51708,53617,4721,3017,54483,1888,14890,7948,184191,78525
2439,2045,49871,54439,5415,3473,52448,1363,13230,7527,152705,73576
2440,11033,48191,51560,4788,2744,50692,7628,11876,7395,115824,47888
2441,2542,48860,51130,5906,3218,52149,1647,14349,7218,149824,53799
2443,4388,46510,52043,6691,4532,48748,2740,12588,7288,173569,79750
2444,29039,61152,59941,5078,3147,64108,20879,17833,9619,179310,72352
2445,4321,56054,58646,4099,2366,59115,2965,15971,9889,186377,96523
2446,8408,54309,53810,5949,3442,57346,5920,15106,8057,144134,60219
2447,4206,47794,51856,5885,3531,50561,2676,13534,7515,159198,63163
2448,4664,53671,50570,4898,3613,55955,3086,16103,7108,138158,55120
2449,1107,41122,44730,5577,3864,43074,653,11267,6115,102483,38341
2450,27474,58866,56693,5705,3570,61832,19956,16363,9028,156998,56006
2452,8368,54084,55238,5509,3114,56552,6056,13635,8498,136995,59446
2453,1580,45229,49805,6252,5100,48958,967,12872,6079,165855,58535
2454,4463,52928,52463,6062,4373,55682,2915,15709,8782,157728,60028
2455,1663,53347,55921,6665,4557,56674,1184,13690,7760,163871,70955
2456,10230,53315,54273,4947,3113,56234,7229,14092,7884,132294,49201
2460,15615,51889,54958,4958,2813,54406,10982,13316,8320,128061,54626
2462,1321,47779,53295,5223,3250,50336,873,12606,6997,126151,58631
2463,4394,50445,52843,5648,3442,53243,2929,13799,7659,151286,62613
2464,3838,54622,54389,6157,4174,57324,2530,16677,8073,201675,76987
2465,210,48152,49068,3464,3379,51430,136,13065,8932,130955,48313
2466,753,45657,51556,6797,4942,47785,437,13400,7266,170576,72790
2469,2044,40430,45603,5845,3297,43109,1164,11241,6235,106256,36113
2470,8028,48977,51117,4307,2348,51318,5874,10895,7462,104958,47285
2471,1436,44828,50032,4148,2981,48521,948,11056,7250,92245,47225
2472,1083,48484,51054,3386,2893,51528,744,11911,8362,115308,51270
2473,1626,52860,53128,5604,3685,56650,1106,14430,8389,148285,70541
2474,3480,45464,50011,5083,3074,48146,2169,12761,6792,127399,53449
2475,187,43708,50787,406,73,46684,111,11212,6299,127256,41565
2476,385,40278,48697,6693,3284,42812,213,11939,7069,106946,46816
2477,7553,57100,55828,6919,4327,60074,5303,16382,9133,171576,70068
2478,19120,61422,58455,7270,4410,64804,13750,18018,9331,189326,69579
2479,3711,89588,65416,9563,5454,95892,2546,38188,11267,236408,59580
2480,25818,56795,53370,5342,3375,59967,18314,16288,8323,137957,56082
2481,9479,84268,54822,13105,7546,88580,6729,33870,7372,181246,30330
2482,4447,60723,48295,11415,6936,63257,2690,24257,6617,132068,35564
2483,7065,56231,53011,8774,5588,59237,4888,16237,7401,142819,44929
