Postcode,Number of individuals lodging an income tax return,Average taxable income or loss,Average salary or wages,Average net rent,Median net rent,Average total income or loss,Count net tax,Average net tax,Median net tax,Average super total accounts balance,Median super total accounts balance
4875,3125,59982,60871,4096,968,61756,2388,14329,8886,87387,26702
4876,1120,52738,50751,2970,1858,54135,816,11492,7027,61795,14931
4877,3751,55946,51494,4943,1751,59113,2888,13956,7069,152031,40039
4878,9435,62535,62863,2075,1230,65196,7300,16345,10571,139870,62079
4879,14134,66314,66039,2780,1252,69342,11002,17896,11430,165038,75395
4880,8284,52997,54908,4228,2467,55813,5955,13355,8494,131580,42528
4881,2858,55533,59095,3464,2118,58069,1953,15627,8634,148258,61013
4882,2005,57286,60561,5220,1992,60340,1420,15938,10206,182704,79419
4883,5157,52504,55272,4374,2012,55079,3631,13409,8418,144742,54520
4884,1349,56192,59353,4457,2357,59475,913,16128,9913,222886,92934
4885,2513,56480,57475,3207,2127,59448,1690,16720,8869,186111,89161
4886,532,46123,54047,5235,2556,49131,325,13275,6599,133563,53812
4887,1028,46140,51449,1017,232,48114,660,11661,7301,124019,58114
4888,1456,46412,51188,2716,1525,48987,913,12494,7141,113903,43129
4890,765,58742,57502,2054,2428,60649,585,13634,9920,80692,27474
4891,328,55610,52773,4630,513,58167,244,12284,9286,113160,41300
4892,1635,46978,44658,593,416,48474,1046,11075,5825,46540,8761
4895,2352,53282,54884,4347,2254,55280,1663,12573,8320,94192,36121
5000,13078,61773,57695,4017,2459,64409,8760,21050,9737,170812,16213
5006,4414,128700,76856,5826,3532,133936,3436,53186,16199,413943,72615
5007,5271,67015,66719,3150,1923,69710,4281,17328,11800,121616,48369
5008,8606,60646,61008,3368,1671,62940,6802,14871,9992,109566,47467
5009,3415,60637,61130,2817,1730,63014,2681,15014,10430,125932,55285
5010,3159,51955,53308,2585,2027,53910,2405,11397,8019,68930,26536
5011,8973,63415,63893,2566,1520,65870,7271,15516,11254,124372,54732
5012,6570,49073,50118,2123,1879,50777,4829,10710,7568,59509,19194
5013,5941,53627,55453,1890,1233,55521,4628,11748,8678,88801,38982
5014,7493,59278,61794,2773,1310,61479,5964,13947,10243,120197,61483
5015,3991,65174,66009,2241,1105,67522,3233,16380,11847,135450,69679
5016,5711,67242,68077,2060,1272,69979,4625,17229,12284,173645,94256
5017,2686,58186,59744,1806,640,60322,2086,14165,9831,107897,55975
5018,3548,64864,66199,3509,1782,67571,2741,17358,11949,206486,105224
5019,5580,69038,68958,3979,2003,71872,4326,19631,12796,193997,93996
5020,2076,76514,71189,4241,1977,79588,1570,24975,12554,245156,110570
5021,4457,71959,70876,5001,2466,75431,3329,22266,12438,272111,119831
5022,10546,88842,77179,3289,2106,92788,8228,30371,14802,267865,116742
5023,10808,58423,59812,3275,1654,60607,8470,13970,9851,108739,50793
5024,9335,70158,68206,4396,2978,73419,7143,20654,12235,201258,90188
5025,5708,66137,65319,3990,2421,68909,4474,17850,11413,157567,73828
5031,6529,65910,64137,4091,2884,68595,5229,17198,11073,138472,51158
5032,8668,66786,64178,4280,2718,69742,6728,18535,11079,162854,67842
5033,5657,57883,58576,3579,2194,60088,4410,13923,9611,101721,39060
5034,6773,88985,77896,3024,2049,92929,5387,29664,14799,277412,101337
5035,4183,67097,66010,3479,2495,69925,3304,18033,11567,166836,59354
5037,7428,61824,62098,3171,1937,64196,5815,15683,10447,124425,43508
5038,11525,59574,61161,2746,1750,61888,9088,14391,10019,116276,46195
5039,5625,63658,65254,3553,1859,66078,4414,16423,11426,135250,64373
5040,1415,69682,70895,2256,1951,73205,1017,22280,12094,227503,113944
5041,8608,77569,72468,2688,1364,80923,6744,23998,13679,222738,107697
5042,7421,56972,57957,4254,1974,59057,5440,14821,9785,123301,41852
5043,12278,56832,59393,2139,1235,58986,9465,13565,9444,110838,43873
5044,7464,82588,74860,2958,1686,86509,5781,26958,14310,274079,120106
5045,10837,80657,73046,4887,2650,84501,8428,25961,13318,275246,100321
5046,5929,61846,64714,2125,1370,64424,4636,15615,10971,146501,65461
5047,5337,58079,60484,1832,1264,60347,4123,14190,10018,110536,48130
5048,9575,73337,72267,3239,1978,76883,7289,22398,12689,244317,107482
5049,6684,72511,69357,3344,1740,75766,5141,21809,12932,225886,104473
5050,3707,67289,68560,3093,1823,70161,2757,19736,12609,221792,99940
5051,9975,73933,73661,2237,1134,76829,7775,21795,14329,217507,116988
5052,4280,77586,76931,2507,1822,80897,3274,24413,14715,256846,130999
5061,6752,116201,87500,3700,2411,122089,5285,45355,19080,408056,132440
5062,10172,94841,81162,3559,2234,99494,7813,34308,16228,331048,134696
5063,8098,82547,76241,3753,2278,86527,6218,27251,14981,255274,94922
5064,6833,102190,84153,3336,2500,106858,5105,39980,16805,346941,124812
5065,7297,97248,78329,4318,2630,101781,5409,37545,15633,375717,108406
5066,8356,100068,84708,4024,2369,105271,6357,37753,17683,370624,138186
5067,7375,87279,76952,4215,2522,91956,5777,29166,14510,302636,83850
5068,8232,92253,75683,4013,2733,96779,6235,33529,14645,303878,92103
5069,5547,100300,80795,3531,2491,105107,4427,35520,16420,327956,108291
5070,9691,69052,66892,3834,2246,72098,7367,20470,11497,168461,62654
5072,8969,76195,71192,3632,2101,79517,6709,25028,13694,220642,74554
5073,10652,64164,64629,3850,2193,66933,7981,18047,11463,158213,61880
5074,8869,58147,59941,4106,2374,60448,6720,14644,9994,118459,44954
5075,7055,58974,61011,3558,1804,61550,5307,15092,10179,154482,63690
5076,6328,64519,64937,3882,1852,67299,4834,17737,11420,177175,83771
5081,6573,115248,81559,3751,2314,120983,5212,44690,15876,357594,106856
5082,10530,77355,70852,3450,2291,80676,8505,22911,12671,195835,70501
5083,5148,66061,66232,2752,1656,68808,4050,17673,11664,164443,64958
5084,6131,49596,51325,3006,1869,51457,4521,10871,7366,66983,16819
5085,14908,59479,61148,1803,1078,61780,11696,14507,10287,95469,35247
5086,10637,57468,59720,1761,1174,59680,8193,13860,9903,108164,42618
5087,7870,58717,60362,2093,1617,60944,6090,14340,10291,108304,41151
5088,2271,53885,55122,2613,1462,55702,1730,12485,8638,88461,40419
5089,4497,66282,67215,2929,1449,69038,3430,18688,12121,194267,92123
5090,4550,55486,59728,1748,915,57588,3373,13499,9898,130536,70434
5091,4898,61633,64701,1764,916,64038,3818,15515,11253,162912,90164
5092,11088,55601,58717,2369,1419,57610,8505,13004,9477,124665,58513
5093,5525,53295,56615,2695,1280,55189,4179,12125,8774,112896,51296
5094,564,48142,51452,5466,1224,49835,409,10524,7638,81689,28452
5095,13304,59890,60822,1581,949,62290,10379,14787,10293,109884,39739
5096,8244,55826,56386,2105,1294,57949,6392,12958,8655,112707,49778
5097,8333,58187,61176,1377,858,60376,6494,13876,10371,141507,76423
5098,7205,54167,56620,1372,664,56051,5480,12442,9074,107039,50974
